,0,1,2,3,4,5,6,7,8,9,10
2014-12-03 17:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.037767418629817695,-0.18324094826436182,-0.01450645694922537,0.15919081352223868,0.28574168200859096,0.34529503188452154,0.14409724020760525
2014-12-03 18:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.3023476480162228,-0.18324094826436182,-0.01450645694922537,0.15919081352223868,0.28574168200859096,0.17569247871932037
2014-12-03 19:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.344531270845007,-0.3023476480162228,-0.18324094826436182,-0.01450645694922537,0.15919081352223868,0.14298851095093287
2014-12-03 20:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.2973848688598953,-0.344531270845007,-0.3023476480162228,-0.18324094826436182,-0.01450645694922537,0.11901847207920727
2014-12-03 21:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.17827816910803426,-0.2973848688598953,-0.344531270845007,-0.3023476480162228,-0.18324094826436182,0.04114764987611535
2014-12-03 22:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.016987846527389088,-0.17827816910803426,-0.2973848688598953,-0.344531270845007,-0.3023476480162228,0.0025740638382917647
2014-12-03 23:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.14926525520958359,-0.016987846527389088,-0.17827816910803426,-0.2973848688598953,-0.344531270845007,-0.015281617601355494
2014-12-04 00:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.2832602924304273,0.14926525520958359,-0.016987846527389088,-0.17827816910803426,-0.2973848688598953,-0.01606968594553016
2014-12-04 01:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.3502578110408491,0.2832602924304273,0.14926525520958359,-0.016987846527389088,-0.17827816910803426,-0.012447313089465917
2014-12-04 02:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.33536947357186647,0.3502578110408491,0.2832602924304273,0.14926525520958359,-0.016987846527389088,-0.012048529363906274
2014-12-04 03:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.23859528002347932,0.33536947357186647,0.3502578110408491,0.2832602924304273,0.14926525520958359,-0.016835032819146216
2014-12-04 04:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.07978634702099792,0.23859528002347932,0.33536947357186647,0.3502578110408491,0.2832602924304273,0.003961321711681425
2014-12-04 05:00:00,0.0011820527761591715,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.10135509218495733,0.07978634702099792,0.23859528002347932,0.33536947357186647,0.3502578110408491,0.03273395063165634
2014-12-04 06:00:00,-0.023208191126279847,0.0011820527761591715,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.2527198564529474,-0.10135509218495733,0.07978634702099792,0.23859528002347932,0.33536947357186647,0.12855501915619172
2014-12-04 07:00:00,-0.023208191126279847,-0.023208191126279847,0.0011820527761591715,-0.023208191126279847,-0.023208191126279847,-0.3346057125323519,-0.2527198564529474,-0.10135509218495733,0.07978634702099792,0.23859528002347932,0.29074613760833057
2014-12-04 08:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.0011820527761591715,-0.023208191126279847,-0.3246801542196968,-0.3346057125323519,-0.2527198564529474,-0.10135509218495733,0.07978634702099792,0.3481968054239032
2014-12-04 09:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.0011820527761591715,-0.23286873982763723,-0.3246801542196968,-0.3346057125323519,-0.2527198564529474,-0.10135509218495733,0.1961632831645208
2014-12-04 10:00:00,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.07902258598148343,-0.23286873982763723,-0.3246801542196968,-0.3346057125323519,-0.2527198564529474,0.08314570353411063
2014-12-04 11:00:00,0.1841088820444518,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.0971560740681444,-0.07902258598148343,-0.23286873982763723,-0.3246801542196968,-0.3346057125323519,-0.0015643050192416447
2014-12-04 12:00:00,0.11093815033713478,0.1841088820444518,-0.023208191126279847,-0.023208191126279847,-0.023208191126279847,0.25348361749246195,0.0971560740681444,-0.07902258598148343,-0.23286873982763723,-0.3246801542196968,-0.03188759980057641
2014-12-04 13:00:00,-0.023208191126279847,0.11093815033713478,0.1841088820444518,-0.023208191126279847,-0.023208191126279847,0.3502578110408491,0.25348361749246195,0.0971560740681444,-0.07902258598148343,-0.23286873982763723,-0.013818313604890697
2014-12-04 14:00:00,0.11093815033713478,-0.023208191126279847,0.11093815033713478,0.1841088820444518,-0.023208191126279847,0.3626647589316679,0.3502578110408491,0.25348361749246195,0.0971560740681444,-0.07902258598148343,-0.010847497334569512
2014-12-04 15:00:00,-0.023208191126279847,0.11093815033713478,-0.023208191126279847,0.11093815033713478,0.1841088820444518,0.2882230715867548,0.3626647589316679,0.3502578110408491,0.25348361749246195,0.0971560740681444,0.009177565762861486
